Firm Name,Address,Nationality,Ineligible From, Ineligible Until,Notice Effective At EBRD,Originating Institution,Prohibited Practice
"Hebei Construction Group Corporation Limited Sunig Branch","No. 605 Huasi Fashion Street Suning Development Zone Cangzhou City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Suzhou Branch","Room 415, Building 1 No 18, Qihong Road Suzhou Industrial Park Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tang County Branch","No 18, Central Residence South of Tangyao East Road Tang County Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tangshan Branch","501S Lugang Community Tangshan Road North District Tangshan City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tangshan Concrete Branch","South of Wafangzhuang Village Laozhuangzi High-tech Zon Tangshan City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tanzania Branch","Dodoma Region Dodoma Cbd District Kilimani Ward Within Kambarage Tower Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tengchong Shitoushan Branch","No. 2, Building 28, Maojiaying Tengchong Xinghua International Logistics Trade City Dongping Community Zhonghe Town Tengchong City Baoshan City Yunnan Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tianjin Branch","No. 464, Room 1808, Building A Creative Center Binhai Private Economic Growth Demonstration Base Gegu Town Jinnan District Tianjin Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tianjin Intelligent Building","Room 101, Building 7, Taikang Zhida Technology Industrial Park intersection of South Poyang Road and Ruize Road Shuanggang Town Jinnan District Tianjin Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Tianshan Branch","No 22, Antai Home East Hongxing Road Tianshan Town Chifeng City Inner Mongolia Autonomous Region Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Wangdu Branch","No 1, Mengniu Road Economic Development Zone Wangdu County Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Weifang Branch","2F, Shop 1-5, Building 1 No 12808, Liyuan Street Health East Street Community Xincheng Street Weifang High-tech Zone Shandong Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Wenan Branch","Deyuan Building?Modern Home Manufacturing Industrial Park Wen 'an County Langfang City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Wenzhou Branch","7th Floor, No.2 Jingchuan Middle Road Shuitou Town Pingyang County Wenzhou City Zhejiang Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Wuji County Branch","4 / F, Property Building Luyin Shui 'an Community No. 4-102, West Hope Road Wuji County Shijiazhuang City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Wuxi Branch","Room 315, No 888, Hongqiao Road Binhu District Wuxi City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Xi'an Branch","No 3 ,Chengle East Road Baqiao District Xi'an City Shaanxi Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Xianghe Branch","No 2-103, Shuxiang New District Xinkai Street Xianghe County Langfang City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Xihua Branch","500 Meters East of Li Dazhuang Town Government Xihua County Zhoukou City Henan Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Xinglong Branch","No. 11, Building 8, Tianma Building Anding West Street Xinglong Town Xinglong County Chengde City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Xingtai Branch","Room 608, 6th Floor, No 328, Xinhuanan Road Xiangdu District Xingtai City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Xinjiang Branch","Room 1801, Section A Shengda Plaza, No 499 Yuntaishan Street Economic and Technological Development Zone Urumqi Xinjiang Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Xiongxian Branch","No. 30, Qinghe Park West Street North Caiyuan Village Xiongzhou Town Xiongxian County Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Yantai Branch","No 19, Building A10 No 35 Gangcheng West Street Zhifu District Yantai City Shandong Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Yinchuan Branch","Room 1410, Complex Building 1 Xi'an International Garden Jinfeng District Yinchuan City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Youwei Branch","Room 102, Unit 2, Building 1 Hexiejiayuan Wanquan District Zhangjiakou City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Yunnan Branch","4 / F, Building 2, Xingchen Park Guangju Road Guandu District Kunming China (Yunnan) Free Trade Pilot Zone Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Yutian Branch","Fule Village west Yutian County Tangshan City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Zhangshu Branch","No 78, Gonghe West Road Zhangshu City Yichun City Jiangxi Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Zhanjiang Branch","No 33, North Bridge Road Chikan District Zhanjiang City Guangdong Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Zhejiang Branch","Room 301-1, Unit 2, Building 1 360-Zero Space Building, Gongshu District Hangzhou City Zhejiang Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Zhenjiang Branch","SME Entrepreneurship Park No 300,Gangnan Road New District Zhenjiang City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Zhongshan Branch","No. 2, 3/ F, Building 1 No 17, Xinggang South Road Port Town Zhongshan City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Corporation Limited Zhuhai Branch","Room 1302 B2, Shenzhen Development Building No8 Yinhua Road Xiangzhou District Zhuhai City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Decoration Engineering Co., Ltd.","No. 388, West Development Road Qingyuan District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Ecological Environment Co., Ltd.","No. 125 , Lugang Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Harbin Airport Construction Co., Ltd.","No 5, Bali Street Taipingzhuang Town Daoli District Harbin City Heilongjiang Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Hong Kong Co., Ltd.","Dah Sing Finacial Centre 248 Queeen's Road East Wanchai Hongkong Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Infrastructure Construction Co., Ltd.","No. 956, Jingxiu Street Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Installation Engineering Co., Ltd.","No. 125, Lugang Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Jilin Engineering Co., Ltd.","No. 50, Tuanshan Street Kuancheng District Changchun City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Tianchen Construction Engineering Co., Ltd.","Building 6, No 139 Wusi West Road Jingxiu District Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Tianding Construction and Installation Engineering Co., Ltd.","Office 306, Comprehensive office building West of Xichang Road and south of Anming Road Anci High-tech Industrial Park Anxi District Langfang City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Tianfu Construction Engineering Co., Ltd.","Floor 3, 5-4 building phase I of Industrial Platform Standardized Plant No 3 Fuping County Economic Development Zone Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Tianmian Construction Engineering Co., Ltd.","Room 701, Building 6 Science Park Hebei University of Technology Xingtai Economic Development Zone Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Tianyong Construction Engineering Co., Ltd.","Room 107, 108, 109 shops, Unit 1 Commercial S3 Building Hongan Xinyuan Community Gu'an County Langfang City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Wuhu Baojian Construction Co., Ltd.","1-701, E Area Construction Headquarters Jiangbei New District Wuhu City Anhui Province 150 meters south of Tongjiang Avenue Jiangbei Industrial Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Zhengyuan Concrete Co., Ltd.","No 3083, Tianwei West Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Zhibo Construction Engineering Co., Ltd.","No 13-10, Building 13 Renewal Area of Phase I China North Herbal Medicine Trading Center Anguo City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Zhichuang Construction Engineering Co., Ltd.","Room1801, Business Building No. 125 Lugang Road Gaokai District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Zhuocheng Road and Bridge Engineering Co., Ltd.","No. 125 , Lugang Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Construction Group Zhuoxin Construction Engineering Co., Ltd.","Room 112, Complex Building 1 Hengshui Technology Valley No. 1999, Yangyuan East Road High-tech Zone Hengshui City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Haikuo Environmental Technology Co., Ltd.","Floor 23, Hebei Construction Business Center No 125 , Lugang Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Lvjian Investment Co., Ltd.","No 382, West Development Road Qingyuan District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Nongtou Construction Development Co., Ltd.","No 1, Xinhua West Road Qingyuan District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Shangbai Construction Engineering Co., Ltd.","03-211, Building 2, Zone A Smart Sea Industrial Park Headquarter Fengqi Street Baoding Industrial Park Lianchi District Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Shenning Construction Engineering Co., Ltd.","Room 1-801, Jiuzhou Business Center No 1616, Qiyi Middle Road Hancun North Road Subdistrict Office Jingxiu District Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Tiankai Construction Engineering Co., Ltd.","No. 382, West Development Road Qingyuan District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Tianrui Project Management Co., Ltd.","No 125 , Lugang Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Tianying Construction Engineering Co., Ltd.","Room 1208, Block A, No.1 Changjiang Road Tianshan Science Park No 530 Yuhua East Road High-tech Zone Shijiazhuang City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Tianyu Construction Development Co., Ltd.","Gaobeidian City Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Tongchuang Liantai Hospital Management Co., Ltd.","Hospital of Peoples No 171, Jiankang East Road Raoyang County Hengshui City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Xindacheng Real Estate Development Co., Ltd.","No. 125 , Lugang Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Xingxi Corporate Management Co., Ltd.","Room 206, 2nd Floor Central Heating Office No.169 Aimin West Road Anchi District Langfang City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Zhiping Construction Equipment Leasing Co., Ltd.","No. 151, Fuchang Road Jingxiu District Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Zhongru Software Technology Co., Ltd.","Floor 4, No 329 Wusi West Road Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hebei Zhuocheng Engineering Inspection Co., Ltd.","No 48 ,Fuchang Road Jianshe South Road Street office Jingxiu District Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Hector Alfonso Velasco Rivas","Kilometro 14 Carretera Panamericana frente a la Colonia Tierra Virgen San Mart�n El Salvador","El Salvador","2022-10-28T12:00:59Z","2037-10-27T12:00:59Z","2023-02-10T12:00:59Z","Inter-American Development Bank Group","Fraudulent and collusive practices"
"Hefei Gezhouba High Tech Pipe Gallery Investment and Construction Co., Ltd.","Room 419, Innovation Building No.860 Wangjiang West Road Hefei High-tech Zone People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hefei Highway & Bridge Project Co. Ltd.","No. 199 Block B, Haozhou Road, Hefei City, Anhui Province, China","China","2011-06-28T09:48:59Z",Ongoing,"2011-11-29T10:49:59Z","World Bank Group","Fraudulent Practice"
"Henan Geological and Mining Construction Engineering (Group) Co., Ltd.","No. 25 Huzhu Road Zhengzhou City Henan China 450007","China","2023-05-02T12:00:59Z","2026-05-01T12:00:59Z","2023-06-09T12:00:59Z","World Bank Group","Fraudulent Practices"
"Henan Geology and Mineral Construction Engineering (Group) Anhui Co., Ltd.","Room 303 Town Government Building Wushan Town Changfeng County Hefei Anhui China","China","2023-05-02T12:00:59Z","2026-05-01T12:00:59Z","2023-06-09T12:00:59Z","World Bank Group","Fraudulent Practices"
"Henan Geology and Mineral Construction Engineering (Group) Dalian Municipal Engineering Co., Ltd.","Chengshan Village Chengshan Town Zhuanghe City Liaoning Province China","China","2023-05-02T12:00:59Z","2026-05-01T12:00:59Z","2023-06-09T12:00:59Z","World Bank Group","Fraudulent Practices"
"Henan Geology and Mineral Group Municipal Engineering Co., Ltd.","No. 56, Nanyang Road Zhengzhou City Henan China","China","2023-05-02T12:00:59Z","2026-05-01T12:00:59Z","2023-06-09T12:00:59Z","World Bank Group","Fraudulent Practices"
"Henan Geology and Mineral Group Road & Bridge Engineering Co., Ltd.","No. 40, Leshan Road Zhumadian Henan China","China","2023-05-02T12:00:59Z","2026-05-01T12:00:59Z","2023-06-09T12:00:59Z","World Bank Group","Fraudulent Practices"
"Henan Qiankun Road and Bridge Engineering Co. Ltd.","No. 51 Gognye Road, Fengqiu County, Xianxiang City, Henan Province 453000, People's Republic of China","China",,Ongoing,"2022-09-22T11:46:59Z","Asian Development Bank","Fraudulent Practice"
"Hengshui Jizhou District Jiuchen Construction Development Co., Ltd.","Hot Spring Community Jizhou district Hengshui City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Henry Efrain Orellana López","Km. 19.3 Carretera Villa Canales, 5 Avenida 1-52 Cañadas del Rio Colonial Municipio San Miguel Petapa, Departamento de Guatemala Guatemala","Guatemala","2018-01-26T09:52:59Z","2025-01-25T04:53:59Z","2018-08-07T08:53:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Herbert Ernesto Lopez Gallardo ","Cantón Piedras Gordas, Caserío El Tronconal, Santa Rita, Chalatenango, El Salvador","El Salvador","2012-05-01T11:10:59Z","2025-04-30T11:10:59Z","2013-01-14T12:11:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Hetian Land Port Hub Center Management Co., Ltd.","No. 256, Ahe Highway Alima Tamucun Jiya County Hotan Xinjiang China","China","2024-01-30T01:00:59Z","2026-05-29T12:00:59Z","2024-03-11T12:00:59Z","World Bank Group","Fraudulent Practice"
"Hikma Construction and General Trading Company","Afar-Irdod Street Baidoa Bay Region Somalia","Somalia","2021-04-06T12:00:59Z","2027-04-05T12:00:59Z","2021-06-25T12:00:59Z","World Bank Group","Collusive Practice"
"Hoang Mai Construction Import and Export Joint Stock Company","Xom Bo, Commune Thanh Liet District Thanh Tri Hanoi VIET NAM Room 3016, Building B, Vinaconex Building Nguyen Xien (Phòng 3016 Tòa B Vinaconex 2 Nguyễn Xiển) Dai Kim Ward, Hoang Mai District (Phường Đại Kim, Quận Hoàng Mai) Hanoi 100000 (Hà Nội) VIET NAM No. 14, TT6B Urban West Nam Linh Dam, Hoang Mai (Số 14, TT6B Khu đô thị Tây Nam Linh Đàm, Hoàng Mai) Hanoi 100000 (Hà Nội) VIET NAM No. 2/20, Lane 255, Hope Street (Số 2/20, Ngõ 255, Phố Vọng) Dong Tam Ward, Hai Ba Trung District, Hanoi (Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội) VIET NAM","Vietnam","2021-02-17T02:43:59Z","2026-08-17T01:44:59Z","2022-01-14T02:44:59Z","Asian Development Bank","Fraudulent Practice"
"Huainan Fengrui Infrastructure Construction Co., Ltd.","Third floor, Integrated Service Building South of No. 4 Road Fengtai Economic Development Zone Huainan City Anhui Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Huazhou Jingneng (Huludao City) New Energy Co., Ltd.","J, 7-1 Building, Shengli Road Lianshan District Huludao City Liaoning Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hubei Geke Engineering Test Co., Ltd.","No. 01, 42nd Floor Gezhouba International Center Qiaokou District Wuhan People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hubei Gezhouba Commercial Trade Mansion Co., Ltd.","No. 2-1, Dongshan Avenue Yichang City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hubei Gezhouba Hydro Power Construction Co., Ltd.","No.4 Guangming Road Yichang City Hubei Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hubei Gezhouba Xintong Transportation Development Co., Ltd.","64 North Road Wuchang District People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hubei Laogu Highway Development Co., Ltd.","5 North Checheng Lake Road, Xiangzhou District, Xiangyang City, Hubei Province, China","China",,Ongoing,"2021-01-28T09:43:59Z","World Bank Group","Fraudulent Practice"
"Hubei Siping Hydropower Development Co., Ltd.","No.212 Chengguan Town East Street Baokang Country Hubei People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hubei Sunlight Electric Co., Ltd.","No. 90 Yong An Avenue, Xianana District, Hubei Province, 437000","China",,Ongoing,"2019-01-21T10:04:59Z","World Bank Group","Fraudulent Practice"
"Hubei Wuhan Gezhouba Industrial Co., Ltd.","No.558 Jiefang Avenue Qiaokou District Wuhan People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Hubei Yichang Dingcheng Engineering Technology Service Co., Ltd.","No.6 Shanggang Road Xiling District Yichang City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
